,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros_Internet,Total,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otros_Velocidad,Accesos por cada 100 hogares
24,2022,2,Buenos Aires,350652,2719613,1399043,126847,71028,4667183,30639,28323,295238,307554,273954,129869,3535757,65849,77.58
25,2022,2,Capital Federal,145491,1232226,121506,5757,31791,1536771,517,5980,36036,72434,55372,31571,1229254,105607,121.31
26,2022,2,Catamarca,11928,9430,42087,1329,2234,67008,71,413,3678,6155,7165,3393,43926,2207,62.4
27,2022,2,Chaco,29552,61284,42194,8178,2356,143564,461,1047,17603,20109,8391,15974,76271,3708,43.79
28,2022,2,Chubut,45377,69242,9574,29784,8828,162805,109,1444,45804,31217,34290,14526,15394,20021,83.19
29,2022,2,Córdoba,179181,467595,308895,61107,9657,1026435,99,11971,160486,120485,71923,28645,619400,13426,87.48
30,2022,2,Corrientes,38468,75769,18181,7256,5323,144997,67,3937,24253,24842,8001,21719,55071,7107,48.35
31,2022,2,Entre Ríos,63794,131029,35839,26098,12592,269352,107,5656,48637,48557,18512,32355,98769,16759,63.9
32,2022,2,Formosa,15397,25487,9875,16910,212,67881,97,407,23834,19706,6330,591,16326,590,43.42
33,2022,2,Jujuy,20303,54495,34184,3955,2377,115314,58,1829,19458,15790,37786,549,37391,2453,57.32
34,2022,2,La Pampa,7796,59273,22994,20200,1264,111527,68,1887,62546,9842,11800,5247,17125,3012,92.98
35,2022,2,La Rioja,7759,52656,19189,6395,31,86030,18,728,3179,3890,23814,5481,48920,0,80.14
36,2022,2,Mendoza,37663,77504,135504,26964,1927,279562,103,2954,44961,22557,64138,19543,121366,3940,49.39
37,2022,2,Misiones,37208,89260,33649,11074,7622,178813,51,3808,37254,21712,12774,19757,75107,8350,51.0
38,2022,2,Neuquén,29749,74905,28824,27371,1119,161968,134,999,38826,15066,9205,2039,76982,18717,80.02
39,2022,2,Río Negro,36050,47040,40946,16760,18968,159764,111,1227,33364,17938,27168,13714,41972,24270,67.85
40,2022,2,Salta,42665,96178,47076,10068,7190,203177,114,1530,33732,72661,6012,1156,81478,6494,57.54
41,2022,2,San Juan,38570,19734,12328,21859,7916,100407,24,2027,30385,11276,24649,3728,16701,11617,49.46
